;Nß ORDEM:;;;PEDIDO:;;PRAZO:;;;;;;;;;;
;EQUIP.;;S150207 - CHAPA A GAS L700 720MM GN 720X750X270MM;;;;;QTDE;1;;;;;;;
;;;;;;;;;;;;;;;;
;Nß;QTD;X;Y;MATERIAL;DESCRIÄ«O;C‡DIGO;PROCESSO;QTD. TOTAL;;;;;;;
;1;2;;;Material <n∆o especificado>;MANIPULO ZAMACK CROMADO ù58x40mm;1007101;ALMOXARIFADO;2;;;;;;;
;2;2;;;Material <n∆o especificado>;VELA DE IGNIÄ«O MOD. SMT-DHZX006B (9613900000600);1008259;ALMOXARIFADO;2;;;;;;;
;3;1;;;Aáo galvanizado;COTOVELO RED. BSP F/F 3/4 X 1/2;1006254;ALMOXARIFADO;1;;;;;;;
;4;2;;;Aáo carbono simples;TUBO DE FERRO ENCAIXE VALV. DIAM. 10MM;1010561;ALMOXARIFADO;2;;;;;;;
;5;2;;;AISI 304;VALV. SEG. COM PILOTO 21/S;1010563;ALMOXARIFADO;2;;;;;;;
;6;2;;;AISI 304;TERMOPAR P/ VALV. DE SEG. C/ PILOTO 21/S;1010566;ALMOXARIFADO;2;;;;;;;
;7;4;;;INOX 304;PA. PANELA PHIL. M6x20-INOX;1006212;ALMOXARIFADO;4;;;;;;;
;8;1;;;AISI 1020;CHAPA AÄO CARBONO 16X510X716 MM;1001510;ALMOXARIFADO;1;;;;;;;
;9;1;;;;COTOVELO ALUMEGAS 1/8NPTM X 1/8NPTF;1007595;ALMOXARIFADO;1;;;;;;;
;10;18;;;Lat∆o;REBITE ROSCA INT M4 CAB EXTRA FINA;1006216;ALMOXARIFADO;18;;;;;;;
;11;10;;;INOX 304;PARAF. CAB PAN PHILIPS M4 X12 INOX;1006904;ALMOXARIFADO;10;;;;;;;
;12;9;;;Liga de aáo;PARAFUSO CAB PAN PHILLIPS M4X25  ZB;1006122;ALMOXARIFADO;9;;;;;;;
;13;2;;;INOX;ACABAMENTO BASE PARA MANIPULO CROMADO ù78;1007102;ALMOXARIFADO;2;;;;;;;
;14;1;;;;ETIQUETA EMBLEMA 3D SULFISA;1013543;ALMOXARIFADO;1;;;;;;;
;15;2;;;#430-0,8-1000043;"QUEIMADOR INOX ù32 TIPO ""U"" ENTRADA CENTRAL ";1010669;ALMOXARIFADO;2;;;;;;;
;16;2;;;Liga 1060;PONTEIRA DE ACENDIMENTO;1007176;ALMOXARIFADO;2;;;;;;;
;17;1;;;Material <n∆o especificado>;IGNITOR MOD. SMT-DHQ010B-1 (8504402100602);1008258;ALMOXARIFADO;1;;;;;;;
;18;8;;;INOX;REBITE. POP 4,8x12 -512 - INOX;1006555;ALMOXARIFADO;8;;;;;;;
;19;25;;;CARB.ZINC;PARAF. BROCANTE FLANG CAB. SEXT. 3,9X11,1 MM ZINCADO;1006361;ALMOXARIFADO;25;;;;;;;
;20;4;;;Lat∆o;REBITE ROS. M10 CABEÄA PLANA;1006052;ALMOXARIFADO;4;;;;;;;
;21;7;;;Lat∆o;REBITE ROSCA M6 CAB. EXTRA FINA;1006103;ALMOXARIFADO;7;;;;;;;
;22;4;;;PLµSTICO;Pê NIVELADOR M10X30 PP;1006126;ALMOXARIFADO;4;;;;;;;
;23;2;;;Lat∆o;REBITE ROSCA INT M4 CAB PLANA RECAR;1006069;ALMOXARIFADO;2;;;;;;;
;24;2;;;INOX;PARAFUSO SEXT. ZINC. M6x20mm;1006071;ALMOXARIFADO;2;;;;;;;
;25;2;;;ALUMINIO;REBI. POP 4,8x8 -508 - ALUM;1006554;ALMOXARIFADO;2;;;;;;;
;26;1;;;;"VALVULA SCHRADER P/ GµS 1/8""";1006314;ALMOXARIFADO;1;;;;;;;
;27;2;;;Lat∆o;"NIPLE LAT«O 1/8"" NPTM";1010582;ALMOXARIFADO;2;;;;;;;
;28;2;;;Lat∆o;INJETOR LAT«O 1/8 X LISO - BANANINHA;1006313;ALMOXARIFADO;2;;;;;;;
;29;2;;;Lat∆o;CONEXAO COTOVELO 1/8 NPTF X 1/8 NPTF;1010504;ALMOXARIFADO;2;;;;;;;
;30;2;;;Material <n∆o especificado>;PILOTO 3  CHAMAS 1830-490 ROBERTSHAW;1010649;ALMOXARIFADO;2;;;;;;;
;31;2;;;Material <n∆o especificado>;CONECTOR ALUMEGAS 1_8NPTM X 1_4 A;1007596;ALMOXARIFADO;2;;;;;;;
;32;2;;;Lat∆o;PORCA SAE 3/8;1006045;ALMOXARIFADO;2;;;;;;;
;33;2;;;Lat∆o;COTOVELO ALUMEGAS 3/8 NPTM X 3/8 SAE;1006207;ALMOXARIFADO;2;;;;;;;
;34;1;649,2;;T-C-25X25X3,0-1004530;TUBO DISTR. DE GµS CHAPA/BROILER 720MM L700;PPL700-PT02;CORTE;1;;;;;;;
;35;1;606;;T-C-SCH 3-4-ù26,7X2,83MM-1004587;TUBO ENTRADA DE GµS L700;PPL700-PT01;CORTE;1;;;;;;;
;36;2;116;;T-C-25X25X3,0-1004530;TUBO DISTR. DE GAS QUEIMADOR CHAPA/ BROILER L700;PPL700-PT03;CORTE;2;;;;;;;
;37;2;205;;"TB INOX 3/4"" X1MM";TUBO DO ACENDEDOR L700;PPL700-PT04;CORTE;2;;;;;;;
;38;1;150;;"TI-ù1.1/4""x1-1003005";TUBO DE ESCOAMENTO DO OLEO;S150203-PT01;CORTE;1;;;;;;;
